 1483  STARS OF MAGNITUDE  5.000 AND BRIGHTER                   TOTAL   1483
  347  4.281 A0P   318.8623   39.1843  .5837646 -.5099277  .6318170  1431058
  348  4.422 B3P   318.9650   34.6861  .6202543 -.5398453  .5690796  1431060
  349  4.977 K0    323.1843   38.3102  .6281778 -.4702055  .6199189  1431077
  350  4.383 F5    331.9406   32.9320  .7406630 -.3948033  .5436438  1431100
  351  4.641 K2    332.9326   39.4664  .6874423 -.3512881  .6356255  1431104
  352  4.219 K     333.4467   37.4993  .7096765 -.3546562  .6087513  1431105
  353  4.906 OE5   339.2532   38.7896  .7289086 -.2761120  .6264618  1431125
  354  2.148 A0P     1.4510   28.8128  .8759182  .0221872  .4819491  1320006
  355  4.523 G5      8.9740   29.0379  .8635967  .1363780  .4853884  1320023
  356  4.297 K0     11.1695   23.9947  .8962782  .1769726  .4066523  1320027
  357  4.617 G5     13.6325   23.1478  .8935896  .2167181  .3931043  1320035
  358  4.891 K0     17.1906   20.7693  .8932459  .2763449  .3546057  1320048
  359  4.703 K0     17.2258   29.8244  .8286397  .2569156  .4973435  1320049
  360  4.641 K0     17.7571   24.3191  .8678518  .2779199  .4118176  1320052
  361  4.672 A2     19.1782   27.0018  .8415432  .2926979  .4540188  1320056
  362  3.578 F5     27.5561   29.3337  .7728848  .4033012  .4898952  1320073
  363  2.719 A5     27.9692   20.5633  .8269265  .4391143  .3512423  1320074
  364  4.828 A5     28.7830   23.3530  .8046506  .4420500  .3963953  1320077
  365  2.227 K2     31.0894   23.2254  .7869636  .4745278  .3943497  1320086
  366  4.578 B3     40.1278   27.4956  .6782435  .5716969  .4616800  1320114
  367  4.617 K0     41.2329   29.0395  .6574943  .5762609  .4854118  1320116
  368  3.680 B8     41.7593   27.0545  .6643234  .5931247  .4548379  1320118
  369  4.641 A2     44.0866   21.1416  .6699425  .6489153  .3606744  1320123
  370  4.953 A0     48.0052   20.8598  .6252089  .6944922  .3560820  1320134
  371  4.719 K5     49.3269   28.8685  .5707500  .6641892  .4828014  1320136
  372  3.813 B5P    55.4754   23.9573  .5179321  .7529046  .4060554  1320161
  373  4.367 B5     55.5568   24.3115  .5154334  .7515545  .4116967  1320163
  374  4.023 B5     55.7117   24.2126  .5137984  .7535316  .4101235  1320164
  375  4.250 B5     55.8386   23.7937  .5137990  .7571280  .4034449  1320167
  376  2.961 B5P    56.1270   23.9516  .5093593  .7587788  .4059654  1320170
  377  3.797 B8     56.5462   23.9017  .5039896  .7627799  .4051682  1320176
  378  4.500 K0     60.4347   21.9463  .4576600  .8067633  .3737382  1320196
  379  4.797 A3     63.5812   20.4565  .4168715  .8390890  .3494965  1320203
  380  4.359 A3     65.5973   22.1806  .3825737  .8432737  .3775272  1320213
  381  4.398 A5     65.8291   22.7014  .3777390  .8416487  .3859284  1320215
  382  4.328 B5     69.8100   22.8626  .3180204  .8648197  .3885227  1320228
  383  4.703 A5     75.0267   21.5199  .2403582  .8987034  .3668244  1320239
  384  1.781 B8     80.7824   28.5653  .1406853  .8669319  .4781597  1320263
  385  4.828 B3     81.1573   21.8960  .1426327  .9168339  .3729228  1320264
  386  3.000 B3P    83.6636   21.1137  .1029564  .9271689  .3602192  1320277
  387  5.000 B3     84.1593   25.8707  .0915647  .8951099  .4363418  1320281
  388  4.539 A0     87.5458   27.6022  .0379467  .8853729  .4633302  1320292
  389  4.617 F8     87.8528   20.2678  .0351465  .9374252  .3464084  1320294
  390  4.898 B2     88.7226   25.9496  .0200452  .8989560  .4375801  1320299
  391  4.711 B2P    90.2373   20.1413 -.0038891  .9388382  .3443366  1320308
  392  4.297 G5     90.2698   23.2668 -.0043263  .9186650  .3950137  1320309
  393  3.703 M0     92.9638   22.5230 -.0477620  .9224901  .3830546  1320321
  394  4.453 K0     93.0470   29.5156 -.0462562  .8689917  .4926599  1320322
  395  3.188 M0     94.9844   22.5399 -.0802474  .9201201  .3833268  1320330
  396  4.063 B5     96.4984   20.2454 -.1061830  .9321912  .3460415  1320339
  397  3.180 G5    100.2140   25.1823 -.1604713  .8906170  .4255001  1320353
  398  3.898 G0P   105.2859   20.6454 -.2467045  .9026751  .3525828  1320377
  399  3.523 F0    109.2841   22.0760 -.3060412  .8746921  .3758359  1320393
  400  3.891 K0    110.6543   27.8983 -.3117338  .8269757  .4679031  1320398
  401  4.219 K5    113.2104   27.0074 -.3511309  .8188373  .4541062  1320410
  402  4.258 K0    115.0482   29.0038 -.3702842  .7923343  .4848670  1320416
  403  3.703 G5    115.3574   24.5190 -.3896439  .8221660  .4149948  1320420
  404  1.211 K0    115.5570   28.1481 -.3803872  .7954593  .4717521  1320422
  405  4.992 A2    117.6094   26.8965 -.4133086  .7902710  .4523802  1320429
  406  4.727 A0    130.0976   21.6492 -.5986569  .7109893  .3689230  1320472
  407  4.203 G5    130.9185   28.9437 -.5731744  .6612586  .4839506  1320475
  408  4.609 K0    140.4362   26.3982 -.6905293  .5705212  .4446064  1320498
  409  4.477 K5    142.2174   23.1890 -.7264901  .5631699  .3937662  1320502
  410  3.117 G0P   145.7536   24.0053 -.7551287  .5140791  .4068210  1320510
  411  4.102 K0    147.4784   26.2427 -.7562805  .4822047  .4421746  1320515
  412  3.648 F0    153.4784   23.6671 -.8195102  .4089790  .4014215  1320530
  413  2.609 K0    154.3082   20.0936 -.8462887  .4071427  .3435552  1320534
  414  3.797 K0    154.3094   20.0925 -.8463035  .4071274  .3435369  1320535
  415  4.508 A0    163.2265   25.0167 -.8676290  .2615153  .4228826  1320550
  416  4.422 A0    164.9155   20.4487 -.9046997  .2438437  .3493689  1320554
  417  2.578 A3    167.8645   20.7965 -.9139564  .1965279  .3550501  1320560
  418  4.867 M0    168.1366   23.3682 -.8983672  .1887169  .3966387  1320561
  419  4.539 F8    176.3502   20.4968 -.9347920  .0596279  .3501548  1320573
  420  4.781 F5    184.9983   26.1233 -.8944346 -.0782255  .4403038  1320592
  421  4.563 K0    186.1109   28.5452 -.8734488 -.0935132  .4778520  1320598
  422  4.781 A0    188.0894   22.9045 -.9119894 -.1296226  .3891957  1320608
  423  4.898 K5    196.1954   27.8918 -.8487588 -.2465138  .4678028  1320627
  424  4.320 G0    197.3755   28.1405 -.8415557 -.2633318  .4716358  1320632
  425  4.820 F5    212.0292   25.3270 -.7662904 -.4793739  .4277846  1320657
  426  4.477 F0    218.1279   29.9628 -.6815003 -.5349010  .4994379  1320672
  427  4.930 M0    220.3058   26.7392 -.6810524 -.5776938  .4499306  1320678
  428  2.703 K0    220.7000   27.2843 -.6737871 -.5795476  .4584055  1320679
  429  4.930 K5    224.9791   25.2042 -.6400208 -.6395533  .4258462  1320690
  430  4.672 K0    225.5733   27.1415 -.6229147 -.6355063  .4561897  1320693
  431  3.719 F0P   231.4392   29.2779 -.5437171 -.6820598  .4890462  1320707
  432  2.313 A0    233.1437   26.8809 -.5349995 -.7136858  .4521373  1320708
  433  3.930 A0    235.1590   26.4533 -.5114844 -.7348069  .4454688  1320709
  434  4.727 G5    236.8729   26.2195 -.4902681 -.7512924  .4418110  1320711
  435  4.883 K5    237.2662   21.1272 -.5043902 -.7846492  .3604390  1320712
  436  4.219 K0    238.8779   27.0208 -.4604432 -.7626208  .4543144  1320714
  437  2.000 PEC   239.3520   26.0610 -.4579329 -.7728448  .4393271  1320715
  438  4.906 A0    239.8593   29.9897 -.4348985 -.7490116  .4998448  1320716
  439  4.820 A2    240.0352   22.9421 -.4599597 -.7978044  .3898015  1320717
  440  2.813 K0    247.0160   21.5971 -.3630614 -.8559822  .3680772  1320730
  441  3.156 A2    258.2437   24.8952 -.1848167 -.8880516  .4209598  1320761
  442  4.477 K0    262.1792   26.1473 -.1221506 -.8893145  .4406801  1320776
  443  3.477 G5    266.1212   27.7407 -.0598704 -.8830358  .4654710  1320790
  444  3.820 K0    268.9561   29.2519 -.0158957 -.8723354  .4886495  1320801
  445  3.828 A0    271.3976   28.7545  .0213821 -.8764283  .4810574  1320812
  446  4.320 B3    271.6547   20.8051  .0269924 -.9344040  .3551910  1320815
  447  4.977 K5    274.5456   21.9382  .0735133 -.9246698  .3736061  1320825
  448  3.922 K0    275.3937   21.7430  .0873107 -.9247419  .3704447  1320834
  449  4.258 F5    280.8770   20.4936  .1767587 -.9198831  .3501022  1320858
  450  4.922 K0    281.0148   26.6076  .1708274 -.8776237  .4478780  1320859
  451  4.563 &&&   283.1591   22.5806  .2102031 -.8990953  .3839822  1320869
  452  4.602 B5    288.5165   21.3009  .2958824 -.8834546  .3632652  1320900
  453  4.922 B5    290.1996   26.1652  .3099081 -.8423249  .4409601  1320906
  454  4.859 B3    290.5385   29.5225  .3052849 -.8148518  .4927653  1320908
  455  4.633 M0    291.6544   24.5614  .3356179 -.8453290  .4156676  1320915
  456  3.242 &&&   292.1759   27.8534  .3337224 -.8187447  .4672114  1320919
  457  4.906 B3    297.2287   22.4815  .4227720 -.8216117  .3823848  1320954
  458  4.500 A0    297.8340   23.9484  .4267158 -.8081753  .4059141  1320957
  459  4.742 A5    299.7607   27.6144  .4398349 -.7692176  .4635187  1320968
  460  4.820 B3    303.2862   25.4381  .4956129 -.7548953  .4295357  1320992
  461  4.727 K5    303.4233   27.6599  .4878720 -.7392419  .4642222  1320994
  462  4.781 A0    309.0727   21.0247  .5883435 -.7246624  .3587706  1321018
  463  4.758 G5    312.4956   26.9082  .6023956 -.6575007  .4525620  1321030
  464  4.758 K5    321.9205   23.4189  .7223130 -.5659480  .3974503  1321057
  465  4.727 F5    325.4796   28.5136  .7239855 -.4979618  .4773668  1321071
  466  4.273 F5    325.5950   25.4146  .7452198 -.5103574  .4291653  1321073
  467  5.000 A0    326.9077   29.9404  .7259847 -.4731246  .4990986  1321079
  468  3.961 F5    331.1737   25.1005  .7933523 -.4366239  .4242072  1321089
  469  4.883 B8    334.7527   28.0782  .7980245 -.3763262  .4706756  1321104
  470  4.852 A0    339.8513   29.0459  .8207296 -.3011356  .4855103  1321112
  471  3.102 G0    340.1638   29.9591  .8149768 -.2939921  .4993811  1321113
  472  4.141 K0    341.0306   23.3020  .8685545 -.2985491  .3955775  1321114
  473  3.672 K0    341.8984   24.3368  .8660440 -.2830942  .4120989  1321115
  474  2.609 M0    345.3388   27.8128  .8556781 -.2238632  .4665837  1321120
  475  4.977 K0    346.1680   25.1978  .8786040 -.2163256  .4257444  1321121
  476  4.648 A5    349.5400   23.4664  .9020498 -.1665339  .3982117  1321135
  477  4.570 G0    350.7223   23.1291  .9075918 -.1482620  .3928047  1321141
  478  4.977 K0    355.3685   29.0841  .8710533 -.0705648  .4860933  1321155
  479  4.750 M0    358.8012   24.8632  .9071153 -.0189826  .4204539  1321167
  480  2.867 B2      2.6644   14.9056  .9653061  .0449214  .2572278  1210006
  481  4.938 M0      3.0038   19.9288  .9388250  .0492647  .3408527  1210007
  482  3.719 G5     22.2011   15.0887  .8939431  .3648318  .2603140  1210049
  483  4.828 A0P    27.6961   19.0505  .8369313  .4393264  .3264020  1210065
  484  4.750 A0P    27.6962   19.0483  .8369418  .4393335  .3263657  1210066
  485  4.531 K0     47.1929   19.5389  .6404011  .6913986  .3344464  1210115
  486  4.281 K0     52.0273   12.7668  .6000745  .7688154  .2209830  1210122
  487  3.953 B3     59.4765   12.3505  .4961379  .8414854  .2138913  1210137
  488  3.859 K0     64.2373   15.5083  .4188197  .8678131  .2673771  1210152
  489  3.930 K0     65.0131   17.4266  .4030236  .8648015  .2994836  1210161
  490  4.844 A5     65.3037   17.3294  .3988440  .8672948  .2978644  1210164
  491  4.242 A2     65.6495   17.8150  .3925469  .8673548  .3059453  1210167
  492  4.602 A5     65.8746   15.5062  .3938579  .8794340  .2673423  1210169
  493  4.938 K0     65.9445   14.6020  .3944560  .8836565  .2521025  1210170
  494  3.633 K0     66.4245   19.0708  .3780057  .8662302  .3267366  1210175
  495  4.039 K0     66.4298   15.8525  .3846641  .8817118  .2731625  1210176
  496  3.617 F0     66.4521   15.7614  .3844950  .8822585  .2716311  1210177
  497  4.844 A5     66.9250   16.0866  .3765893  .8839695  .2770892  1210183
  498  4.750 A5     67.7529   14.7407  .3661404  .8950972  .2544448  1210192
  499  4.383 A3     68.2266   10.0593  .3652340  .9143824  .1746678  1210194
  500  1.063 K5     68.2628   16.4084  .3552666  .8910609  .2824820  1210195
  501  4.297 A3     68.8409   12.4121  .3525221  .9107846  .2149409  1210199
  502  4.852 A3     69.1038   15.8204  .3431662  .8988400  .2726236  1210201
  503  4.742 A0     73.0356   10.0715  .2872805  .9417472  .1748776  1210215
  504  4.281 K0     73.3884   13.4366  .2780565  .9320348  .2323697  1210217
  505  4.648 B9     75.4274   15.3358  .2426467  .9333677  .2644755  1210224
  506  4.859 F0     76.7087   15.5350  .2215030  .9376595  .2678266  1210229
  507  4.727 M0     82.3199   18.5589  .1266928  .9394932  .3182788  1210250
  508  4.867 B3     84.6010   16.5096  .0902113  .9545187  .2841759  1210259
  509  4.922 B9     86.6844   12.6369  .0564351  .9741429  .2187711  1210271
  510  4.398 B2     91.1790   14.7760 -.0198957  .9667258  .2550401  1210295
  511  4.352 B3     92.2740   14.2216 -.0384627  .9685895  .2456724  1210302
  512  4.922 B3     92.2927   16.1434 -.0384271  .9597999  .2780424  1210303
  513  4.703 NB     95.6537   14.7511 -.0952689  .9623368  .2546206  1210330
  514  1.930 A0     98.7063   16.4433 -.1451785  .9480491  .2830656  1210350
  515  4.648 K0    100.2920   13.2795 -.1738882  .9576014  .2297008  1210357
  516  3.398 F5    100.6194   12.9491 -.1795980  .9578780  .2240857  1210358
  517  4.703 F0    102.9567   13.2421 -.2182537  .9486275  .2290658  1210367
  518  3.648 A2    108.8044   16.6318 -.3088537  .9070210  .2862208  1210388
  519  4.852 K0    111.7534   12.1114 -.3623638  .9081141  .2098123  1210403
  520  4.172 K0    130.4613   18.3369 -.6159828  .7222116  .3146038  1210470
  521  4.273 A3    133.9389   12.0522 -.6785962  .7042080  .2088020  1210485
  522  3.758 &&&   144.6193   10.1203 -.8026374  .5699976  .1757155  1210511
  523  5.000 M7E   146.2176   11.6611 -.8140007  .5445632  .2021231  1210517
  524  3.578 A0P   151.1522   17.0072 -.8375994  .4613845  .2924920  1210522
  525  4.578 K2    151.3122   10.2427 -.8632676  .4723871  .1778187  1210523
  526  1.344 B8    151.4250   12.2124 -.8583182  .4674851  .2115363  1210524
  527  4.969 F5    154.2515   19.7230 -.8478701  .4089357  .3374729  1210529
  528  3.406 A0    167.9038   15.7023 -.9413066  .2017340  .2706385  1210549
  529  4.031 F5    170.3315   10.8040 -.9683219  .1649699  .1874504  1210556
  530  2.227 A2    176.6220   14.8503 -.9649192  .0569548  .2562950  1210571
  531  4.906 K0    184.5466   18.0699 -.9476875 -.0753595  .3101764  1210588
  532  4.953 A0    189.8392   10.5099 -.9687616 -.1680161  .1824048  1210598
  533  4.961 M0    194.1125   17.6787 -.9240185 -.2323121  .3036789  1210613
  534  2.953 K0    194.9187   11.2277 -.9477985 -.2525210  .1947078  1210616
  535  4.461 F5    196.8840   17.7948 -.9111142 -.2765394  .3056091  1210619
  536  4.508 F5    206.2159   17.7056 -.8546403 -.4208291  .3041263  1210641
  537  4.281 K5    206.7650   16.0456 -.8580767 -.4327890  .2764020  1210642
  538  2.797 G0    208.0750   18.6437 -.8360319 -.4459304  .3196822  1210651
  539   .242 K0    213.3323   19.4205 -.7879609 -.5182300  .3324987  1210664
  540  4.969 K0    214.3448   16.5356 -.7915105 -.5408394  .2846117  1210669
  541  4.938 A0    219.5938   16.6318 -.7383434 -.6106772  .2862210  1210676
  542  3.859 A2    219.6903   13.9416 -.7468391 -.6198249  .2409325  1210678
  543  4.688 K0    220.7259   17.1745 -.7240477 -.6233484  .2952826  1210681
  544  4.641 G5    222.2715   19.3064 -.6983534 -.6348174  .3306198  1210688
  545  4.227 F0    233.1020   10.7051 -.5899430 -.7857881  .1857533  1210716
  546  4.492 A2    234.8292   19.8296 -.5418606 -.7689692  .3392246  1210726
  547  3.742 A2    235.9702   15.5765 -.5390703 -.7983091  .2685254  1210731
  548  4.281 K5    236.6212   18.2938 -.5223663 -.7928473  .3138896  1210735
  549  3.859 F5    238.5386   15.8098 -.5021800 -.8207249  .2724444  1210743
  550  3.789 F0    244.9275   19.2697 -.4000230 -.8550272  .3300153  1210759
  551  4.531 A0P   245.7770   14.1463 -.3978472 -.8843000  .2443994  1210760
  552  4.922 K5    247.5637   11.5932 -.3738692 -.9054482  .2009610  1210764
  553  4.289 B8    252.9094   10.2458 -.2891973 -.9405990  .1778719  1210780
  554  4.906 A3    255.7649   12.8080 -.2397831 -.9451774  .2216840  1210796
  555  3.477 MB    258.0914   14.4463 -.1998273 -.9475403  .2494724  1210801
  556  2.141 A5    263.1542   12.5925 -.1163305 -.9689872  .2180162  1210823
  557  4.711 K0    269.4573   16.7522 -.0090696 -.9575174  .2882328  1210842
  558  4.367 A3    281.2037   18.1257  .1846566 -.9322645  .3111025  1210883
  559  4.211 K0    284.3374   14.9982  .2391959 -.9358491  .2587890  1210902
  560  3.023 A0    285.7776   13.7867  .2640707 -.9345993  .2383083  1210912
  561  4.883 B8    293.0961   19.6629  .3694005 -.8662105  .3364858  1210952
  562  4.367 G0    294.4652   17.8973  .3940995 -.8661666  .3073125  1210964
  563  4.453 K0    294.7006   17.3585  .3988456 -.8671272  .2983500  1210966
  564  2.797 K2    295.9706   10.4901  .4305911 -.8839928  .1820660  1210971
  565  3.781 &&&   296.2894   18.4097  .4202379 -.8506844  .3158104  1210972
  566  4.953 A2    296.6894   19.0158  .4246436 -.8446974  .3258282  1210977
  567  3.711 K5    299.1338   19.3554  .4593346 -.8241165  .3314269  1210989
  568  4.961 A0    302.9913   15.0446  .5258474 -.8100046  .2595708  1211011
  569  3.977 B5    307.7059   11.1320  .6001018 -.7762744  .1930697  1211040
  570  4.688 A2    308.2430   14.5008  .5992792 -.7603734  .2503933  1211042
  571  3.719 F5    308.8021   14.4198  .6068917 -.7547646  .2490238  1211044
  572  3.859 B8    309.3294   15.7345  .6100288 -.7445308  .2711805  1211049
  573  4.531 A5    310.2807   14.8936  .6248119 -.7372571  .2570254  1211057
  574  4.492 G5    311.0839   15.9409  .6318929 -.7247627  .2746460  1211061
  575  4.492 G5    311.0840   15.9409  .6318936 -.7247622  .2746457  1211062
  576  4.273 K0    319.9443   19.5904  .7211121 -.6062803  .3352932  1211085
  577  4.523 G5    325.5357   17.1197  .7879479 -.5408193  .2943681  1211099
  578  4.930 B3P   334.7639   11.9528  .8849465 -.4171054  .2071059  1211132
  579  3.609 B8    339.7425   10.5697  .9222280 -.3403647  .1834323  1211144
  580  4.313 F5    341.0508   11.9106  .9254444 -.3177382  .2063856  1211148
  581  2.570 A0    345.5676   14.9355  .9357254 -.2408172  .2577307  1211159
  582  4.672 K0    351.6566   12.4849  .9660193 -.1416749  .2161828  1211174
  583  4.547 K5     11.5222    7.3128  .9718773  .1981230  .1272865  1100019
  584  4.453 K0     15.0854    7.6217  .9570089  .2579589  .1326316  1100025
  585  4.680 K0     24.7062    5.2354  .9046728  .4162223  .0912476  1100056
  586  4.500 K0     25.6881    8.9074  .8902987  .4282447  .1548379  1100057
  587  4.844 K0     27.7412    2.9418  .8838929  .4648649  .0513219  1100062
  588  4.328 A2P    29.8645    2.5231  .8663651  .4974672  .0440216  1100065
  589  4.539 G5     32.5862    8.6131  .8330798  .5324936  .1497617  1100073
  590  4.344 A0     36.3745    8.2369  .7968516  .5869430  .1432671  1100082
  591  4.039 B2     39.2292     .1139  .7746208  .6324228  .0019878  1100093
  592  3.578 A2     40.1751    3.0245  .7630121  .6442271  .0527636  1100097
  593  4.359 F0     40.5618    9.9038  .7483836  .6405776  .1719953  1100098
  594  4.688 B5     44.2578    8.7092  .7079484  .6898414  .1514197  1100107
  595  2.820 M0     44.9155    3.8940  .7065145  .7044328  .0679102  1100109
  596  4.961 G5     49.1867    3.1892  .6525837  .7556716  .0556329  1100117
  597  3.797 G5     50.5289    8.8534  .6281145  .7627482  .1539074  1100122
  598  3.750 B8     51.1145    9.5594  .6190489  .7675931  .1660700  1100123
  599  4.398 G5     53.5770     .2392  .5937363  .8046489  .0041741  1100129
  600  3.938 A0     60.1233    5.8521  .4955394  .8625803  .1019605  1100148
  601  4.977 G5     62.8042    9.1381  .4512330  .8781610  .1588147  1100159
  602  4.320 B3     63.2042    8.7684  .4455434  .8821864  .1524408  1100161
  603  3.313 F8     71.7858    6.8758  .3103225  .9430629  .1197176  1100185
  604  4.352 A0     71.9711    8.8157  .3058412  .9396667  .1532565  1100186
  605  3.781 B3     72.1350    5.5212  .3053513  .9473666  .0962144  1100188
  606  3.867 B3     72.9110    2.3603  .2936069  .9550387  .0411842  1100193
  607  4.727 K0     73.9885    1.6389  .2757171  .9608133  .0285999  1100200
  608  4.641 K0     77.6686    2.8032  .2133095  .9757599  .0489054  1100214
  609  4.992 B3     80.0507    3.4979  .1724555  .9831260  .0610117  1100225
  610  4.727 B3P    80.5374    1.8022  .1643229  .9859051  .0314487  1100228
  611  1.703 B2     80.6117    6.3059  .1621383  .9806361  .1098364  1100229
  612  4.656 B2     81.0539    3.0539  .1552850  .9864321  .0532761  1100232
  613  4.320 B3     82.0269    5.9112  .1379711  .9850673  .1029876  1100238
  614  4.531 B0     83.0184    9.4574  .1198982  .9790942  .1643138  1100243
  615  3.656 OE5    83.0955    9.9023  .1184247  .9779584  .1719680  1100244
  616  4.391 K0     83.5402    9.2620  .1110391  .9806966  .1609487  1100245
  617  4.539 B3P    84.1358    4.0946  .1019100  .9922277  .0714038  1100248
  618   .648 M0     88.1161    7.3995  .0325997  .9911362  .1287874  1100264
  619  4.188 A2     89.9079    9.6488  .0015841  .9858525  .1676079  1100271
  620  4.477 A5     95.2792    4.6200 -.0917095  .9925228  .0805472  1100296
  621  4.500 A0P    97.5498    7.3711 -.1303020  .9831386  .1282959  1100317
  622  4.680 OE5    99.5560    9.9435 -.1635171  .9713108  .1726776  1100328
  623  5.000 K0    101.1534    8.0927 -.1915102  .9713425  .1407751  1100338
  624  4.703 K0    101.3130    2.4683 -.1959863  .9796604  .0430669  1100340
  625  3.094 B8    111.1092    8.3912 -.3562917  .9229086  .1459311  1100377
  626  4.602 K0    111.3595    9.0285 -.3597060  .9197748  .1569266  1100379
  627   .477 F5    114.1637    5.3436 -.4075663  .9084144  .0931290  1100392
  628  4.523 K0    119.9157    2.4743 -.4982604  .8659520  .0431717  1100418
  629  3.758 K2    123.4507    9.3405 -.5439106  .8232980  .1623010  1100422
  630  4.180 A0    128.7517    5.8792 -.6226548  .7757633  .1024316  1100442
  631  4.539 K0    129.0359    3.5180 -.6286208  .7752875  .0613615  1100444
  632  4.320 B3    130.1527    3.5793 -.6435690  .7628378  .0624298  1100448
  633  3.477 F8    131.0302    6.6029 -.6521031  .7493595  .1149867  1100455
  634  4.422 A0    131.4461    6.0232 -.6582610  .7454407  .1049318  1100456
  635  3.297 K0    133.1868    6.1371 -.6804568  .7249477  .1069083  1100462
  636  3.844 A0    137.9423    2.5229 -.7417508  .6692295  .0440192  1100477
  637  4.781 K0    143.9601    4.8754 -.8056821  .5862194  .0849890  1100493
  638  4.891 M0    149.3927    8.2847 -.8516956  .5038376  .1440911  1100508
  639  3.852 B0P   157.5447    9.5644 -.9113314  .3766523  .1661567  1100526
  640  4.656 F0    165.6059    7.6062 -.9600862  .2464033  .1323629  1100542
  641  4.133 A0    169.6385    6.3035 -.9777455  .1787705  .1097945  1100549
  642  4.203 M0    175.8220    6.8076 -.9903110  .0723411  .1185363  1100567
  643  3.797 F8    177.0304    2.0436 -.9980220  .0517735  .0356603  1100570
  644  4.570 A3    179.5775    6.8927 -.9927456  .0073199  .1200109  1100576
  645  4.242 G5    180.6630    9.0111 -.9875919 -.0114291  .1566260  1100578
  646  3.656 M0    193.2657    3.6682 -.9713223 -.2289973  .0639777  1100601
  647  4.930 A2P   202.8995    3.9148 -.9190397 -.3882073  .0682729  1100620
  648  4.344 A2    209.7749    1.7854 -.8675614 -.4963532  .0311564  1100633
  649  4.898 A0P   212.4317    2.6436 -.8431327 -.5357238  .0461226  1100641
  650  3.758 A0    220.9283    2.1022 -.7550217 -.6546730  .0366814  1100656
  651  4.617 K0    225.0922    2.2866 -.7054057 -.7076800  .0398974  1100667
  652  2.750 K0    235.4521    6.5821 -.5633572 -.8182232  .1146272  1100682
  653  4.422 G0    236.0010    7.5078 -.5543842 -.8219402  .1306612  1100685
  654  3.750 A2    237.0815    4.6276 -.5416736 -.8367083  .0806784  1100689
  655  4.797 F0    244.8827    1.1456 -.4243885 -.9052594  .0199936  1100706
  656  3.852 A0    247.0969    2.0912 -.3889142 -.9205511  .0364894  1100716
  657  3.422 K0    253.8216    9.4512 -.2748463 -.9473622  .1642081  1100738
  658  4.438 K0    261.0079    4.1823 -.1558819 -.9850797  .0729303  1100762
  659  2.938 K0    265.2497    4.5883 -.0825476 -.9933713  .0799957  1100772
  660  3.742 A0    266.3456    2.7237 -.0636652 -.9968393  .0475202  1100778
  661  4.813 B3    269.4462    4.3698 -.0096366 -.9970465  .0761927  1100794
  662  3.953 B5P   269.5348    2.9323 -.0081092 -.9986578  .0511557  1100795
  663  4.438 A2    269.8039    1.3047 -.0034222 -.9997349  .0227687  1100797
  664  4.070 K0    270.7345    2.4979  .0128062 -.9989677  .0435826  1100800
  665  4.727 G5    271.2284    8.7264  .0211895 -.9881969  .1517162  1100804
  666  3.727 A3    271.2437    9.5561  .0214042 -.9858911  .1660137  1100805
  667  4.922 G5    274.5925    3.3533  .0799310 -.9950827  .0584925  1100819
  668  4.500 A5    283.4337    4.1374  .2317151 -.9701045  .0721477  1100849
  669  3.438 F0    290.7469    3.0145  .3537499 -.9338605  .0525887  1100881
  670  4.859 F0    290.9900     .2375  .3582022 -.9336348  .0041448  1100882
  671  4.648 K0    292.9138    7.2697  .3862158 -.9136876  .1265397  1100894
  672   .891 A5    297.0916    8.7391  .4501275 -.8799438  .1519347  1100907
  673  4.047 G0P   297.4814     .8758  .4614073 -.8870567  .0152855  1100911
  674  4.859 K0    297.9570    8.3299  .4638635 -.8739810  .1448721  1100913
  675  3.898 K0    298.2146    6.2754  .4699419 -.8759033  .1093071  1100916
  676  4.758 F0P   316.9781    9.9275  .7201455 -.6720626  .1724017  1100978
  677  4.609 F5    318.0116    9.8001  .7324344 -.6592177  .1702112  1100981
  678  4.141 &&&   318.3316    5.0392  .7441177 -.6622487  .0878373  1100982
  679  2.539 K0    325.4326    9.6450  .8118199 -.5593549  .1675425  1101005
  680  4.898 K5    330.7905    4.8145  .8697615 -.4862824  .0839302  1101014
  681  3.703 A2    331.9221    5.9515  .8775530 -.4681344  .1036864  1101017
  682  4.641 B1P   335.6809    1.1231  .9110913 -.4117384  .0196001  1101023
  683  4.930 K0    336.3326    4.4410  .9131414 -.4002211  .0774325  1101025
  684  4.953 A0    343.1781    8.5491  .9465735 -.2861817  .1486562  1101034
  685  4.578 B5P   345.3329    3.5504  .9655565 -.2527166  .0619272  1101041
  686  4.688 M0    346.1210    9.1389  .9584813 -.2368268  .1588288  1101044
  687  3.852 K0    348.6512    3.0090  .9790957 -.1965100  .0524933  1101053
  688  4.938 A2P   351.0929     .9807  .9877961 -.1548093  .0171148  1101059
  689  4.453 G5    351.3562    6.1037  .9830373 -.1494392  .1063276  1101061
  690  4.281 F8    354.3482    5.3505  .9908028 -.0980533  .0932488  1101068
  691  4.609 A5    354.8721    1.5032  .9956549 -.0893488  .0262334  1101070
  692  4.031 F5    359.1870    6.5853  .9933022 -.0140950  .1146828  1101084
  693  4.680 K0       .6938   -5.9862  .9944741  .0120419 -.1042891  2010002
  694  3.750 K0      4.2197   -9.1013  .9847336  .0726552 -.1581802  2010012
  695  4.922 K0     12.6128   -1.4156  .9755703  .2182940 -.0247037  2010027
