 1483  STARS OF MAGNITUDE  5.000 AND BRIGHTER                   TOTAL   1483
   79  3.719 B3      8.5434   53.6220  .5865283  .0881114  .8051217  1650024
   80  2.469 K0      9.4148   56.2632  .5478975  .0908495  .8315977  1650026
   81  4.852 B3      9.8161   50.2386  .6302279  .1090420  .7687149  1650028
   82  3.641 F8     11.5372   57.5453  .5257902  .1073286  .8438159  1650036
   83  4.953 K0     13.0035   58.7021  .5061662  .1168906  .8544778  1650040
   84  4.828 K0     13.4152   58.9109  .5022803  .1198006  .8563658  1650042
   85  4.523 A5     17.0149   54.8844  .5500501  .1683237  .8179926  1650058
   86  2.797 A5     20.6377   59.9757  .4682572  .1763577  .8658136  1650063
   87  4.883 K0     22.6603   58.9761  .4756093  .1985648  .8569526  1650065
   88  4.188 B0P    25.1286   50.4376  .5766378  .2704679  .7709319  1650074
   89  4.992 B8     29.7395   54.2470  .5073349  .2898430  .8115432  1650089
   90  4.859 K5     35.5690   50.0535  .5222709  .3734826  .7666445  1650114
   91  3.953 K0     41.7584   55.6894  .4204811  .3754048  .8259945  1650124
   92  4.063 &&&    42.6744   52.5594  .4469671  .4120798  .7939840  1650127
   93  3.078 &&&    45.2900   53.3123  .4203197  .4245960  .8019037  1650132
   94  4.438 B9P    51.2503   59.7681  .3151515  .3926748  .8639943  1650145
   95  4.758 A0P    51.4760   58.7074  .3235104  .4063583  .8545256  1650146
   96  4.977 A2     51.5429   55.2807  .3542231  .4460046  .8219525  1650148
   97  4.328 A0     60.7119   50.2172  .3130299  .5580834  .7684759  1650177
   98  4.570 A2     63.6193   50.1741  .2845760  .5737602  .7679946  1650187
   99  4.438 A2     73.3171   53.6746  .1700550  .5674369  .8056654  1650211
  100  4.992 F0     75.6882   51.5318  .1537769  .6027740  .7829535  1650215
  101  4.922 A2     87.6632   55.6982  .0229783  .5630839  .8260802  1650239
  102  3.883 K0     88.8537   54.2820  .0116792  .5836791  .8119004  1650242
  103  4.422 A0     93.8030   59.0320 -.0341288  .5134262  .8574548  1650253
  104  4.891 A2    100.4552   59.4949 -.0921152  .4991865  .8615844  1650267
  105  4.539 G0    103.2380   58.4894 -.1196864  .5087685  .8525431  1650274
  106  4.961 A2    114.6961   58.8292 -.2162520  .4702509  .8556279  1650297
  107  4.867 A2    121.1753   51.6527 -.3211687  .5308299  .7842642  1650307
  108  4.539 A3P   136.3365   51.8074 -.4472869  .4268925  .7859371  1650335
  109  4.891 A5    138.1519   54.2304 -.4354240  .3899720  .8113740  1650338
  110  3.258 F8P   142.3647   51.9007 -.4886317  .3767775  .7869421  1650345
  111  4.648 A0    142.8515   52.2746 -.4877110  .3695019  .7909528  1650346
  112  3.891 F0    146.8568   59.2734 -.4278149  .2793490  .8596153  1650351
  113  4.539 A2    147.1792   54.2992 -.4903998  .3162927  .8120757  1650352
  114  4.844 F5    156.8567   56.2373 -.5110301  .2184289  .8313465  1650368
  115  2.438 A0    164.7110   56.6512 -.5302785  .1449588  .8353392  1650385
  116  2.539 A0    177.8040   53.9728 -.5877367  .0225370  .8087383  1650403
  117  3.438 A2    183.2420   57.3103 -.5392245 -.0305434  .8416080  1650408
  118  4.969 K0    185.4004   51.8391 -.6151288 -.0581511  .7862792  1650411
  119  1.680 A0P   192.9608   56.2308 -.5416884 -.1246683  .8312830  1650421
  120  4.891 F0    194.6494   56.6353 -.5320869 -.1390887  .8351873  1650423
  121  2.398 A2P   200.4810   55.1857 -.5348297 -.1997630  .8210067  1650426
  122  3.961 A2    200.4847   55.1820 -.5348660 -.1998152  .8209703  1650427
  123  4.023 A5    200.8083   55.2478 -.5328474 -.2024983  .8216253  1650428
  124  4.750 M0    204.7102   54.9341 -.5219125 -.2401652  .8184913  1650440
  125  4.602 A5    212.9240   52.0231 -.5165143 -.3344552  .7882593  1650454
  126  4.867 A5    213.5960   51.5981 -.5174124 -.3437157  .7836734  1650457
  127  4.063 F8    215.8692   52.0769 -.4980480 -.3601182  .7888365  1650462
  128  3.469 K0    230.9528   59.1407 -.3231264 -.3983560  .8584299  1650479
  129  4.961 A5    239.1471   54.8915 -.2949458 -.4937384  .8180644  1650496
  130  4.109 F8    240.2301   58.7018 -.2579370 -.4509323  .8544756  1650500
  131  4.883 F0    251.0862   56.8713 -.1771519 -.5170132  .8374453  1650518
  132  2.992 G0    262.3247   52.3378 -.0816056 -.6055305  .7916270  1650533
  133  4.977 A5    262.7997   55.2184 -.0714996 -.5659514  .8213323  1650535
  134  4.953 A5    262.8223   55.2069 -.0712964 -.5661428  .8212181  1650536
  135  3.898 K0    268.1671   56.8807 -.0174756 -.5461040  .8375351  1650543
  136  2.422 K5    268.8605   51.4938 -.0123813 -.6224758  .7825411  1650545
  137  4.852 A2    275.7936   58.7719  .0523343 -.5157981  .8551102  1650557
  138  4.953 F8P   277.9275   57.0068  .0751030 -.5393355  .8387352  1650560
  139  4.852 K0    282.6173   59.3271  .1114329 -.4978175  .8600933  1650570
  140  4.781 K0    282.6176   59.3271  .1114361 -.4978165  .8600934  1650571
  141  4.969 G5    282.9966   50.6449  .1426104 -.6178801  .7732312  1650573
  142  3.977 K0    288.9876   53.2769  .1945507 -.5654139  .8015342  1650589
  143  3.938 A2    292.1114   51.6239  .2336827 -.5751617  .7839524  1650597
  144  4.641 F5    293.7745   50.1072  .2585537 -.5869272  .7672460  1650609
  145  4.797 A3    298.5833   52.3052  .2925426 -.5369325  .7912789  1650623
  146  4.320 A3    303.0601   56.4151  .3017657 -.4636135  .8330666  1650637
  147  4.633 G0    311.0263   57.3973  .3536781 -.4064838  .8424267  1650658
  148  4.781 B3    325.0790   50.9609  .5164408 -.3605558  .7767164  1650703
  149  4.000 M0    325.4937   58.5502  .4299568 -.2955702  .8530975  1650706
  150  3.617 K0    332.2792   57.9544  .4696949 -.2468133  .8476260  1650727
  151  4.227 F0    333.3054   56.7943  .4892751 -.2460224  .8367095  1650732
  152  4.578 K0    335.3969   51.9761  .5600665 -.2564556  .7877538  1650739
